28,22,6,31,44,12
26,35,40,25,6,38
60,30,14,45,23,16
23,58,8,19,27,7
52,35,49,30,38,36
7,56,22,13,6,17
40,10,18,33,38,43
19,39,20,53,14,6
23,39,18,55,50,37
38,4,58,40,27,59
15,37,18,33,40,6
7,42,58,36,24,11
11,15,39,37,29,44
51,33,23,52,31,10
52,56,4,24,46,55
29,16,20,35,47,23
23,56,8,7,1,6
28,60,52,45,4,48
32,37,40,60,7,14
2,46,57,60,48,36
41,46,54,59,23,52
55,11,27,22,25,59
56,10,11,2,38,24
11,17,48,18,4,21
18,58,32,39,27,17
46,32,16,56,40,53
6,36,53,30,56,23
11,51,36,8,35,27
28,35,58,54,2,32
18,56,8,34,39,10
1,48,50,44,37,46
27,22,58,33,59,42
41,14,54,4,39,58
20,9,1,14,54,25
22,19,33,11,53,34
45,35,1,23,5,14
40,50,43,28,51,34
59,46,28,38,4,30
22,20,52,60,42,36
6,37,34,10,3,17
42,38,49,15,50,37
57,21,24,52,25,8
14,7,35,1,31,46
56,21,20,7,40,24
14,37,39,26,35,29
44,5,32,2,12,40
50,57,48,17,6,33
21,11,13,53,54,5
19,34,44,36,20,28
37,26,11,24,59,34
40,58,30,32,15,22
5,39,10,54,46,42
10,58,14,45,31,34
55,23,44,43,36,56
9,36,29,28,34,55
43,32,21,50,35,29
14,22,6,5,10,36
46,24,20,4,50,14
15,6,39,19,37,53
18,16,12,34,37,17
38,23,45,32,29,22
6,2,57,22,55,44
28,3,32,34,37,16
52,14,19,12,59,25
8,24,47,26,11,57
19,57,38,54,4,27
17,16,60,12,52,1
20,9,59,54,16,57
54,10,52,41,44,4
10,18,24,5,39,52
30,59,20,32,8,48
35,48,44,39,36,52
32,39,13,54,30,46
19,10,32,60,13,40
28,26,55,38,48,35
32,27,48,36,2,50
34,60,5,4,7,42
39,5,6,53,15,25
50,30,25,17,32,26
43,39,18,25,37,1
56,43,21,8,27,35
55,34,22,20,24,15
23,47,29,2,14,22
20,40,28,5,8,45
15,41,45,33,36,27
40,9,49,25,35,33
45,29,42,9,43,26
9,21,53,36,52,38
55,14,16,21,33,19
32,21,10,48,34,57
30,1,14,56,22,6
28,33,20,24,57,12
52,59,55,40,8,33
6,39,4,44,52,60
8,54,21,10,45,4
8,57,47,39,9,59
43,11,39,9,30,12
48,20,43,18,6,24
38,1,9,48,49,24
36,16,9,47,13,17
39,29,24,52,7,45
10,54,42,16,40,32
10,29,24,43,6,55
51,40,52,24,12,3
24,17,10,1,3,23
56,39,35,8,23,59
15,19,35,59,14,2
55,21,16,44,29,10
34,8,2,15,9,22
17,56,37,52,18,4
10,52,23,36,3,43
28,51,59,26,53,10
11,5,30,31,13,19
46,3,2,30,14,20
47,43,38,1,17,45
16,52,53,58,30,12
46,34,59,45,9,42
20,41,22,36,43,38
19,10,16,15,28,35
39,45,31,25,43,33
60,28,54,37,45,11
22,17,50,38,20,16
4,36,25,21,46,33
3,50,18,23,9,52
57,21,2,33,20,48
39,33,29,16,44,42
14,56,52,17,4,43
42,10,33,36,13,35
32,16,33,23,18,30
9,6,39,15,22,48
47,43,45,40,57,11
10,27,57,13,23,4
3,48,44,35,25,38
27,40,33,6,39,60
43,54,29,57,35,56
21,18,56,15,51,12
9,43,10,15,45,28
25,18,2,21,9,7
30,53,26,11,37,12
46,11,8,43,28,27
48,35,44,23,36,20
53,12,58,55,34,45
52,9,58,47,22,25
25,6,14,21,3,15
3,5,2,34,10,15
31,35,57,54,21,53
17,58,45,19,28,16
50,22,6,37,30,17
47,1,3,19,23,58
5,24,51,22,11,53
30,25,23,44,28,16
48,1,18,45,17,10
23,56,41,46,34,11
7,40,54,15,3,45
59,7,18,23,32,14
